STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/1/17,5.59,",,W",,,0,"T,,W,2400",0,",,W,2400",0,",,W,2400",,,48,",,W",40,",,W",,,15,",,W",,,,,,,,,,,1,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/2/17,9.17,",,W",,,0.21,",,W,2400",0,"T,,W,2400",0,",,W,2400",,,41,",,W",37,",,W",,,17,",,W",1,",,W",,,,,1,",,W",,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/3/17,10.74,",,W",,,0.58,",,W,2400",0,",,W,2400",0,",,W,2400",,,43,",,W",39,",,W",,,21,",,W",1,",,W",,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/4/17,8.05,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,52,",,W",34,",,W",,,23.9,",,W",1,",,W",,,,,,,,,1,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/5/17,7.83,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",,,34,",,W",27,",,W",,,17,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/6/17,4.7,",,W",,,0.05,",,W,2400",1.2,",,W,2400",1.2,",,W,2400",,,33,",,W",25,",,W",,,10.1,",,W",1,",,W",,,,,,,,,1,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/7/17,7.61,",,W",,,0.32,",,W,2400",5.1,",,W,2400",0,"T,,W,2400",,,26,",,W",20,",,W",,,17,",,W",1,",,W",1,",,W",,,,,,,1,",,W"
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/8/17,8.72,",,W",,,0,",,W,2400",0,",,W,2400",3.9,",,W,2400",,,25,",,W",16,",,W",,,18.1,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/9/17,5.14,",,W",,,0,",,W,2400",0,",,W,2400",3.1,",,W,2400",,,23,",,W",14,",,W",,,13,",,W",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/10/17,4.7,",,W",,,0,",,W,2400",0,",,W,2400",3.1,",,W,2400",,,46,",,W",21,",,W",,,14.1,",,W",,,,,,,,,,,,
